"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gamt",3683.72347279144,1.0182604216273,0.255194127092307,3.99014049903656,6.60341674173182e-05,0.0185195883842553
"Myef2",183.388223515893,-1.4805695052788,0.371083266846507,-3.98985790402457,6.61128901512159e-05,0.0185195883842553
"Rtn4rl1",230.961125353203,-1.18539868381983,0.29745245945417,-3.98517022180639,6.74317684896182e-05,0.0185688803839123
"Prkcg",9.14796120308567,6.59565848985045,1.66002408642626,3.97323059573777,7.09043451727126e-05,0.0191997149336843
"Sult5a1",135.640653144675,2.18505432955717,0.550819709620239,3.96691384021761,7.28092984259149e-05,0.0193923388774728
"Rhbg",84.3567917833107,1.69461016134015,0.429568153535387,3.94491571917831,7.98280505919239e-05,0.0209188119026933
"Txnip",2175.49197546357,1.55741748709662,0.397508886903302,3.91794382065091,8.93075126903188e-05,0.0230314152171367
"Noct",949.440616424322,1.37750967021996,0.352517562719421,3.90763416039036,9.32042896956801e-05,0.0234574266708992
"Fabp1",92557.3832938662,1.45571929929066,0.372805309883284,3.9047708299713,9.43147173996733e-05,0.0234574266708992
"Cyp2j9",297.518730557875,-1.26288070791753,0.323626368617938,-3.90228000675816,9.52908327863203e-05,0.0234574266708992
"Slc41a2",447.39975048998,-1.43077128740061,0.369426365908994,-3.87295390755372,0.000107524168673811,0.02607380848423
"Slc6a6",1676.34876592412,-0.918431101345974,0.23793961512371,-3.85993354182935,0.000113417866683984,0.0270985305884514
"Arsa",478.846202079573,-1.57425432287588,0.409148341007992,-3.84763706727367,0.00011926255462534,0.0280820105072158
"Zfp385a",266.979103905191,-1.23253121330989,0.321090660745751,-3.83857696280318,0.00012374942710604,0.028722242031312
"Sorbs3",933.014207732135,1.30574575563439,0.340584699871895,3.83383562481087,0.000126160463713575,0.0288694232951332
"Gm52861",85.9301038195356,1.78209064112887,0.46568280792404,3.82683365330411,0.000129802168369343,0.0292902198541211
"Jazf1",18.4826345504487,3.8500419860075,1.01298309686926,3.80069716652379,0.000144289555373775,0.0317995486928637
"Onecut1",87.8198304047945,-1.98199180361856,0.521886613820965,-3.79774409063208,0.000146018960372085,0.0317995486928637
"Arrdc2",917.048617285407,1.56004616706483,0.410924419131132,3.79643091146404,0.000146794248289825,0.0317995486928637
"Ugt2b35",3523.24016893664,-0.950463061828914,0.251382520700987,-3.78094331769178,0.000156235245992054,0.0333993952846435
"A730008H23Rik",299.420631632408,-1.43265937156875,0.379262982509581,-3.7774827432112,0.000158421478178677,0.0334269318957009
"Grik5",391.423564463566,1.11921533355158,0.297496942465146,3.76210701285679,0.000168487923670417,0.0348421979398316
"Pcp4l1",529.779899284983,1.23308584062654,0.327884670376169,3.76073037880019,0.000169417962531341,0.0348421979398316
"Raet1d",494.49445189529,1.14307670360988,0.306055190197023,3.73487116122429,0.000187811312640495,0.0381421299558764
"Nat8",40.596873463611,-3.18655113074409,0.854582002597428,-3.72878333624959,0.000192406490450743,0.0385929413623854
"Esrrg",150.243586508519,1.55335447130584,0.417868386295432,3.71732948040636,0.000201339792938178,0.0398922879983729
"A1bg",2708.60960212124,5.10527376463529,1.37864253376105,3.70311639138804,0.000212967113609589,0.0414356497912722
"Mroh6",218.392127241781,1.43878804051393,0.388866443791517,3.69995422203441,0.00021563836140183,0.0414356497912722
"Gm40369",40.9803955852952,2.22881675838087,0.602608710510155,3.69861357711541,0.000216780342971511,0.0414356497912722
"Arhgef37",376.482968974965,1.00563892904792,0.272137745561564,3.6953305649415,0.000219600886804463,0.041486693115257
"Enpp3",607.943753685273,-1.39135924816046,0.377645125709651,-3.68430347285933,0.000229328885421034,0.042826510361328
"Dact2",219.131636064748,-1.26284481282005,0.343578986677843,-3.67555893051212,0.000237329247778694,0.0438169123711413
"Acss3",621.737901274484,1.3902551634624,0.379126931219826,3.6669913134087,0.000245421128858157,0.0446695868873115
"Slc25a30",180.14108197242,-1.33945064035066,0.365481973542032,-3.6648883866132,0.000247446471339819,0.0446695868873115
"Btg3",100.676180506832,-1.50962993672134,0.416322499533258,-3.62610701658882,0.000287726151504104,0.0513701844339249
"Dnajc12",308.648667348445,-1.3016205188813,0.359442721593394,-3.62121818216619,0.000293219096856192,0.0517818550719843
"Cox5b",2761.93354643884,1.11580053640198,0.309430203552496,3.60598455998067,0.000310971627054623,0.0541718525081914
"Sowahb",67.0550849397624,-1.83342674595362,0.508727467392221,-3.60394683493682,0.00031342119380624,0.0541718525081914
"Rhobtb1",852.356933491521,1.0133938842137,0.281744370621556,3.59685583771578,0.000322086871067109,0.054674444736694
"Hba-a2",1782.9583294464,-1.39189852231928,0.387060893221773,-3.59607117818996,0.000323059438340778,0.054674444736694
"Ggct",176.037918028792,1.23409258865696,0.343846318234368,3.58908187528066,0.000331844615920761,0.0550406221336607
"H2-K2",427.693199613344,1.47206071290847,0.410163481896996,3.58896093357759,0.000331998582452068,0.0550406221336607
"Esr1",521.026921653817,1.41594122753767,0.397450344163459,3.5625613320776,0.000367254071096979,0.0602704736678043
"Timp3",497.817502757471,1.09363630196208,0.307581315760162,3.55560057105306,0.000377116649948091,0.0612499028193946
"Hbb-bt",1122.00853742635,-1.48487777445365,0.417913930108255,-3.55307078198857,0.000380761998200213,0.0612499028193946
"Hivep2",213.489689944754,1.12952363505402,0.318595631668469,3.54532053417923,0.000392135916419125,0.0624611003339365
"Cenpm",71.4400225573794,1.82708912786797,0.515828091814345,3.54205045607631,0.000397029522644471,0.0625960230399073
"Rassf1",37.2193683944023,-2.05228994577905,0.579808364865061,-3.53960044411688,0.000400733241029169,0.0625960230399073
"TrnH",1361.83460581613,1.28098134894691,0.362203243290843,3.53663688184676,0.000405256434747159,0.0625960230399073
"Hmgn2",334.274711604961,1.42522396651122,0.403220811174228,3.53459922458068,0.00040839406919617,0.0625960230399073
"Josd2",749.227762960386,1.1759596325956,0.333431936480774,3.52683562650696,0.000420557766052763,0.0636644425645913
"Rbp1",370.970878717926,1.15347570680632,0.327210830427464,3.52517581798694,0.000423201809378708,0.0636644425645913
"Carmil1",147.57336202387,-2.18979150208519,0.62272520200123,-3.51646520013633,0.000437333984906629,0.0647528663953211
"Zfp36",4602.58060024402,0.996975016700878,0.283695320294435,3.5142455492962,0.000441004949490523,0.0647528663953211
"Gm38678",61.982930307748,-2.40851901825832,0.685743543730286,-3.51227370680959,0.000444290182349537,0.0647528663953211
"Zfp276",386.190705045091,1.33743272529396,0.381142713838472,3.50900772003413,0.000449781849036969,0.0647528663953211
"Spata2l",531.30881952843,1.06537253458436,0.303822610490031,3.50656105832951,0.000453937277784549,0.0647528663953211
"Atp5k",608.661234434775,1.31923530749991,0.37624507796239,3.50631911158658,0.000454350142738143,0.0647528663953211
"Epb41l1",156.816645226867,-1.28159411763782,0.366962052481959,-3.49244318034989,0.00047862341198862,0.0675658909638191
